node_x,node_y,common_neighbors,social_distance,I_stress,S_spec,delta_E,delta_L,delta_C,fiedler_before,fiedler_after,fiedler_change,score,network_name,distance_group
16799,20164,1,2,0.010645633892552742,1.4205152012117577,-0.010117731449810208,-0.11099585062240669,0.001383567686582765,0.46481970819228974,0.47570671395936975,0.010887005767080016,1.0,WeChat,2跳(有共同好友)
14310,5045,1,2,0.013240265223925848,1.4047328895263718,-0.0035423724103509358,-0.14957768924302783,0.0013284297338763684,0.40466738896078114,0.41604339563369697,0.011376006672915828,1.0,WeChat,2跳(有共同好友)
6790,18237,1,2,0.013543858232328853,1.4055801840383577,0.0010034191725480923,-0.15254532775453278,0.004167144484524932,0.3964040257501648,0.4085175591056375,0.012113533355472661,1.0,WeChat,2跳(有共同好友)
23544,8027,2,2,0.01791990328808107,1.412517727049064,0.01160934811724701,-0.21604760187522531,0.008476336796803319,0.290966385861605,0.30419481017335537,0.013228424311750364,1.0,WeChat,2跳(有共同好友)
15513,16160,1,2,0.014343593740756985,1.4630558540792844,0.0007743322883584369,-0.16055063913471024,0.0004429587464753193,0.3845899253924489,0.3974952466061739,0.012905321213725007,1.0,WeChat,2跳(有共同好友)
2748,2364,1,2,0.01772319468213043,1.412561165142261,0.012315610248862185,-0.21285333727985778,0.00042964559978597716,0.30034919399024584,0.3139031646394073,0.013553970649161473,1.0,WeChat,2跳(有共同好友)
20081,4848,3,2,0.011477927627297017,1.4161899480539344,-0.005561824412154692,-0.12475492413959488,0.00581608220350327,0.4654053399030319,0.4756700170153673,0.010264677112335419,1.0,WeChat,2跳(有共同好友)
16424,10656,1,2,0.01566733974681623,1.9749832216860932,0.0016648277664330635,-0.16697204787337716,0.0014689661661462794,0.37124575611359395,0.3841401160404968,0.012894359926902854,1.0,WeChat,2跳(有共同好友)
19064,1422,2,2,0.015805463797021153,1.403027825210408,0.008383551133022138,-0.1830512404358915,0.008774123020805047,0.33376000712196363,0.34696858546203,0.01320857834006639,1.0,WeChat,2跳(有共同好友)
17596,10372,1,2,0.011502106449685863,1.4636461202800504,-0.010278715370247937,-0.1206896551724137,0.004310866814318248,0.4562224591480614,0.46765181765196084,0.011429358503899423,1.0,WeChat,2跳(有共同好友)
311,3738,1,2,0.012893093499207017,1.4048434675601718,-0.002199556718665008,-0.14108161258603724,0.004425534903559236,0.39538258170356544,0.40784541702631755,0.012462835322752108,1.0,WeChat,2跳(有共同好友)
1540,6006,2,2,0.014844327964089878,1.4061508479619473,0.007196834213999637,-0.1727171314741036,0.005313642341918695,0.3656670010493207,0.37746299957837126,0.011795998529050555,1.0,WeChat,2跳(有共同好友)
933,700,2,2,0.010580898905632631,1.4041110990202799,-0.008586195460992485,-0.11220209143968907,0.0019468714537826393,0.46660978332717473,0.4769072508258361,0.010297467498661395,1.0,WeChat,2跳(有共同好友)
700,129,1,2,0.013483337709406603,1.4035186348218265,0.0011987292288040408,-0.1529121608802888,0.00039720140969268236,0.3908657155604884,0.4026035330461048,0.01173781748561642,1.0,WeChat,2跳(有共同好友)
8657,5259,1,2,0.016217989188675203,1.4039226728516925,0.0100823663500762,-0.18908730158730158,0.004445104540956091,0.3319383995600267,0.345593198909832,0.013654799349805291,1.0,WeChat,2跳(有共同好友)
15334,22464,1,2,0.016458739619969194,1.463303010405473,0.008603108677732507,-0.19264069264069272,0.004310977089896972,0.31571081539874757,0.3290121704367491,0.013301355038001506,1.0,WeChat,2跳(有共同好友)
